structure_id,fire,damage,roof_material,side_material,ground_deck_material,elevated_deck_material,eaves,vent_screen,window_pane,patio_cover,fence,coordinate_x,coordinate_y
166,palisades,no damage,masonry,masonry,masonry,masonry,n/a,> 1/8 in,multi pane,non-combustible,non-combustible,124112.507931732,-440931.636570552
167,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,enclosed,> 1/8 in,single pane,n/a,non-combustible,127549.177375654,-440672.075217539
168,palisades,major (25-50%),tile,masonry,masonry,n/a,unenclosed,<= 1/8 in,multi pane,combustible,combustible,131496.415426909,-440607.898202157
169,palisades,destroyed (>50%),asphalt,masonry,masonry,wood,n/a,<= 1/8 in,multi pane,combustible,non-combustible,131414.537294761,-440390.974912697
170,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,single pane,combustible,n/a,135822.221107711,-440901.107196365
171,palisades,affected (>0-10%),asphalt,masonry,n/a,n/a,enclosed,n/a,multi pane,n/a,n/a,135806.158510521,-439944.500550544
172,palisades,no damage,n/a,masonry,masonry,n/a,n/a,n/a,single pane,n/a,non-combustible,132070.499458472,-440455.170795891
173,palisades,affected (>0-10%),asphalt,masonry,n/a,n/a,n/a,n/a,multi pane,non-combustible,non-combustible,131527.930078601,-440517.261792645
174,palisades,destroyed (>50%),tile,masonry,masonry,masonry,unenclosed,<= 1/8 in,multi pane,n/a,n/a,125250.274952865,-440729.831041275
175,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,n/a,combustible,non-combustible,127633.638701899,-440859.995090302
176,palisades,destroyed (>50%),tile,masonry,n/a,n/a,n/a,n/a,n/a,n/a,non-combustible,135631.044370452,-440928.369194889
177,palisades,destroyed (>50%),tile,masonry,masonry,masonry,unenclosed,n/a,multi pane,n/a,n/a,125546.960908246,-440827.405936245
178,palisades,destroyed (>50%),asphalt,masonry,masonry,masonry,n/a,n/a,single pane,n/a,non-combustible,135639.98842611,-440616.294589547
179,palisades,destroyed (>50%),tile,masonry,masonry,masonry,n/a,> 1/8 in,multi pane,n/a,non-combustible,136040.093436791,-439210.11443961
180,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,unscreened,n/a,n/a,non-combustible,131309.156232385,-440240.74315151
181,palisades,no damage,n/a,masonry,masonry,n/a,unenclosed,n/a,multi pane,n/a,non-combustible,123495.548806587,-440727.877468357
182,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,unenclosed,n/a,multi pane,n/a,non-combustible,131390.1432276,-440351.382841656
183,palisades,destroyed (>50%),asphalt,wood,masonry,n/a,n/a,<= 1/8 in,multi pane,n/a,n/a,135650.740155798,-440295.23722505
184,palisades,no damage,asphalt,masonry,masonry,wood,unenclosed,unscreened,multi pane,combustible,n/a,131673.843017624,-440161.529311445
185,palisades,destroyed (>50%),asphalt,masonry,masonry,masonry,enclosed,> 1/8 in,multi pane,combustible,n/a,127351.694208566,-440403.663339235
186,palisades,destroyed (>50%),asphalt,masonry,n/a,n/a,n/a,n/a,n/a,n/a,n/a,135877.92498914,-441104.107854025
187,palisades,affected (>0-10%),asphalt,masonry,n/a,n/a,enclosed,> 1/8 in,multi pane,n/a,combustible,132150.227882285,-439975.123479696
188,palisades,affected (>0-10%),asphalt,masonry,masonry,n/a,unenclosed,> 1/8 in,single pane,combustible,non-combustible,135710.121965662,-440266.543368446
189,palisades,destroyed (>50%),n/a,masonry,masonry,n/a,n/a,<= 1/8 in,multi pane,n/a,n/a,136256.08342854,-439567.966958804
190,palisades,no damage,asphalt,wood,masonry,n/a,unenclosed,n/a,multi pane,n/a,n/a,137514.117065638,-439701.514592467
191,palisades,destroyed (>50%),asphalt,masonry,wood,n/a,n/a,<= 1/8 in,multi pane,n/a,non-combustible,132318.972208922,-439729.425590968
192,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,multi pane,combustible,non-combustible,131322.47626754,-440564.026811298
193,palisades,destroyed (>50%),tile,masonry,masonry,n/a,n/a,n/a,multi pane,combustible,n/a,127283.326630904,-440263.0829891
194,palisades,destroyed (>50%),asphalt,masonry,n/a,n/a,enclosed,n/a,n/a,n/a,combustible,131859.99129856,-440031.538057089
195,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,unscreened,multi pane,n/a,non-combustible,135695.524374777,-440115.864403369
196,palisades,minor (10-25%),tile,masonry,masonry,n/a,enclosed,n/a,single pane,n/a,n/a,128208.457377341,-441033.289641963
197,palisades,no damage,asphalt,masonry,masonry,n/a,unenclosed,<= 1/8 in,multi pane,n/a,non-combustible,132287.929003217,-440199.271721646
